[<td class="views-field views-field-nothing">
            
Grupo Mono Blanco</strong>- "El Camotal"; Â¡Fandango! (Smithsonian Folkways)         ;

            
Almas Fronterizas</strong>- "El Barrio"; Rosa Tropical EP (s/r)         ;

            
Melody's Echo Chamber</strong>- "Cross My Heart"; Bon Voyage (Fat Possum)         ;

            
Mystic Moods Orchestra</strong>- "Holly On My Mind"; Love Token (Philips)         ;

            
Entourtage Music &amp; Theatre Ensemble</strong>- "Euphoric Bells (alt take)"; Ceremony Of Dreams (Tompkins Square)         ;

            
Areon Flutes</strong>- "Bade Saba, Mvt 2"; No Era (Innova)         ;

            
Bill Baird</strong>- "Baptize Your Wasted Face In Wine"; Nightly Never Ending (Super Deluxe)         ;

            
Hilary Woods</strong>- "Prodigal Dog"; Colt (Sacred Bones)         ;

            
Kri Kri</strong>- "Wahdi"; 1970's Algerian Folk And Pop (Sublime Frequencies)         ;

            
Rahim AlHaj Trio</strong>- "A Gift From Sufi Soul"; One Sky (Smithsonian Folkways)         ;

            
Hamza El Din</strong>- "Song With Tar"; Escalay / The Water Wheel (Nonesuch)         ;

            
Yann Novak</strong>- "The Inertia Of Time"; The Future Is A Forward Escape Into The Past (Touch)         ;

            
Alabama Shakes</strong>- "Gimme All Your Love"; Sound and Color (ATO Records)         ;

            
Beat Happening</strong>- "What's Important"; 1983-85 (K)         ;

            
X-Ray Spex</strong>- "Warrior in Woolworth's"; Germ Free Adolescents (EMI)         ;

            
Brian Eno</strong>- "Everything Merges With The Night"; Another Green World (Stereo)         ;

            
Khruangbin</strong>- "Como Te Quiero"; Con Todo El Mundo (Dead Oceans)         ;

            
Passion Pit</strong>- "Little Secrets"; Manners (French Kiss)         ;

            
Pilush</strong>- "Big train"; Stranger To The Pain (Father Daughter)         ;

            
Blood Orange</strong>- "Are You Sure You're Really Busy"; Coastal Grooves (Domino)         ;

            
Chai</strong>- "Boys Seco Men"; Pink (Burger)         ;

            
Sluts</strong>- "Seite 1"; Ban Sluts! (bah)         ;

            
Mount Eerie</strong>- "Distortion"; Now Only (PW Elverum + Sun)         ;

            
Public Enemy</strong>- "Don't Believe the Hype"; The Best of Public Enemy (Def Jam)         ;

            
The Pantones</strong>- "Self-Denial"; The Pantones (S/R)         ;

            
Karen O</strong>- "Rapt"; Crush Songs (Cult)         ;

            
Harold Budd</strong>- "A Sidelong Glance From Round Nefertiti"; Luxa (Gyroscope)         ;

            
Lucy Dacus</strong>- "Night Shift"; Historian (Matador)         ;

            
Vampire Weekend</strong>- "Everlasting Arms"; Modern Vampires Of The City (Xl)         ;

            
Smokey Robinson and the Miracles</strong>- "You've Got the Love I Need"; A Pocket Full oF Miracles (Tamia)         ;

            
Hole</strong>- "Miss World"; Live Through This (David Geffen Company)         ;

            
Broadcast</strong>- "Michael"; Tender Buttons (Warp)         ;

            
The Slits</strong>- "Typical Girls"; Cut (Island)         ;

            
Kississippi</strong>- "Easier To Love"; Sunset Blush (Alcopop)         ;

            
Mourn</strong>- "Barcelona City Tour"; Sorpresa Familia (Captured Tracks)         ;

            
Flaming Lips</strong>- "Yoshimi Battles the Pink Robots pt. 1"; Yoshimi Battles the Pink Robots (Warner Bros)         ;

            
Broken Social Scene</strong>- "Meet Me in the Basement"; Forgiveness Rock Record (Arts &amp; Crafts)         ;

            
Sly &amp; the Family Stone</strong>- "Dance to the Music"; Dance to the Music (Epic)         ;

            
Grace Jones</strong>- "Private Life"         ;

            
Leo Kottke &amp; Mike Gordon</strong>- "Sweet Emotion"         ;

            
St. Vincent</strong>- "Surgeon"         ;

            
Alison Cotton</strong>- "All is Quiet at the Ancient Theatre"         ;

            
Bezier</strong>- "Entr'acte"         ;

            
Pieter Nooten &amp; Lucas Stam</strong>- "Fieldz"         ;

            
